X,Y,stationtype,stationmmsi,stationname,objectid
-13602839.1445,4458038.102,NAIS,3669143,Eagle Rock,115
-13632713.969,4550407.768,NAIS,3669145,Presidio,116
-13555160.6548,4332175.6663,NAIS,3669144,Post Ranch,117
-13570311.261,4575071.765,NAIS,3669188,Pittsburg,118
-13525504.1608,4613342.8083,NAIS,3669146,Walnut Grove,119
-13622442.6595,5738689.3734,NAIS,3669147,Elkhorn Mountain,120
-13675897.1842,5806628.3289,NAIS,3669148,Kelso Notch,121
-13791197.48,5822471.3835,NAIS,3669149,Megler Mountain,122
-13850069.6096,5227126.7507,NAIS,3669150,Rogue River,123
-13844806.662,5353797.1939,NAIS,3669189,Seven Devils,124
-13878533.2554,6168744.5534,NAIS,3669151,Bahokus Peak,125
-13668409.8693,6032129.1133,NAIS,3669152,Gold Mountain,126
-13650687.1605,6182715.1008,NAIS,3669153,Mount Erie,127
-13615365.0121,6043180.3768,NAIS,3669154,Seattle,128
-17588509.3114,2471343.8314,NAIS,3669156,Kawela,129
-17599385.5595,2440058.5663,NAIS,3669157,Mauna Kapu,130
-16657696.5493,8687918.8148,NAIS,3669158,Anchorage,131
-9854032.5369,4006015.5516,LOMA,993660873,Aberdeen L&D,132
-8896244.4154,4937084.4897,LOMA,993660716,Allegheny L&D 2,133
-8885087.9729,4944158.0873,LOMA,993660723,Allegheny L&D 3,134
-8874336.7338,4955535.4398,LOMA,3660717,Allegheny L&D 4,135
-9850506.4922,4030294.7753,LOMA,993660874,Amory L&D,136
-9724595.2037,3955597.8346,LOMA,993660738,Bankhead L&D (John Hollis),137
-9828088.9559,3790945.6904,LOMA,3660881,Bevill Tom L&D,138
-8889927.0315,4923127.9447,LOMA,993660668,Monongahela River L&D 2 (Braddock),139
-9807624.0502,5086895.0325,LOMA,993660686,Brandon Road L&D,140
-10043615.8379,4590027.2174,LOMA,993661106,Brickeys,141
-9652110.6418,4565266.0622,LOMA,993660555,Cannelton L&D,142
-9982884.3436,4327219.6764,LOMA,993661112,Caruthersville,143
-10038844.689,4679210.1835,LOMA,993660654,Chain of Rocks L&D 27,144
-10616633.0522,4280993.683,LOMA,993660885,Chouteau L&D 17,145
-9810422.5453,3731378.7242,LOMA,993660883,Coffeeville L&D,146
-10253661.2587,3785230.3982,LOMA,3660704,Columbia L&D,147
-10371418.4082,4197921.7584,LOMA,3660638,Dardanelle L&D 10 ,148
-8928561.5872,4946019.9425,LOMA,3660670,Dashields L&D,149
-9782726.2525,3831678.9219,LOMA,993660884,Demopolis L&D,150
-9827537.9986,5071181.6361,LOMA,3660682,Dresden L&D,151
-10230893.0906,4062049.6678,LOMA,3660727,Emmett Sanders L&D,152
-8915414.751,4939602.3451,LOMA,3660683,Emsworth L&D,153
-10032403.7111,4173399.2265,LOMA,3660744,Ensley Engineering Yard,154
-10115160.406,3802746.8512,LOMA,993661113,ERDC CHL TEST,155
-10255071.6825,3903218.3366,LOMA,3660710,Felsenthal L&D,156
